Level,Theme,Set,SetTitle,Vietnamese,Japanese,Source
"A1","人・家族","2","人と基本の呼び方","học sinh","児童・生徒","legacy-match"
"A1","人・家族","2","人と基本の呼び方","sinh viên","大学生","legacy-match"
"A1","人・家族","2","人と基本の呼び方","giáo viên","教師","legacy-match"
"A1","人・家族","2","人と基本の呼び方","bác sĩ","医師","draft"
"A1","人・家族","2","人と基本の呼び方","nhân viên","従業員","draft"
"A1","人・家族","2","人と基本の呼び方","người Nhật","日本人","draft"
"A1","人・家族","2","人と基本の呼び方","người Việt","ベトナム人","draft"
"A1","人・家族","2","人と基本の呼び方","bạn bè","友人たち","legacy-match"
"A1","人・家族","2","人と基本の呼び方","hàng xóm","隣人","draft"
"A1","家・暮らし","1","家と部屋","nhà","家","legacy-match"
"A1","家・暮らし","1","家と部屋","phòng","部屋","draft"
"A1","家・暮らし","1","家と部屋","phòng khách","居間","draft"
"A1","家・暮らし","1","家と部屋","phòng ngủ","寝室","draft"
"A1","家・暮らし","1","家と部屋","phòng bếp","台所","draft"
"A1","家・暮らし","1","家と部屋","nhà vệ sinh","トイレ","draft"
"A1","家・暮らし","1","家と部屋","phòng tắm","浴室","draft"
"A1","家・暮らし","1","家と部屋","cửa","ドア","draft"
"A1","家・暮らし","1","家と部屋","cửa sổ","窓","draft"
"A1","家・暮らし","1","家と部屋","tường","壁","draft"
"A1","家・暮らし","1","家と部屋","sàn nhà","床","draft"
"A1","家・暮らし","1","家と部屋","mái nhà","屋根","draft"
"A1","家・暮らし","1","家と部屋","cầu thang","階段","draft"
"A1","家・暮らし","1","家と部屋","ban công","バルコニー","draft"
"A1","家・暮らし","1","家と部屋","vườn","庭","draft"
"A1","家・暮らし","1","家と部屋","sân","庭先・中庭","draft"
"A1","家・暮らし","1","家と部屋","tầng","階","draft"
"A1","家・暮らし","1","家と部屋","địa chỉ","住所","draft"
"A1","家・暮らし","1","家と部屋","chìa khóa","鍵","draft"
"A1","家・暮らし","1","家と部屋","ổ khóa","錠前","draft"
"A1","家・暮らし","2","家具と身の回り","bàn","机・テーブル","draft"
"A1","家・暮らし","2","家具と身の回り","ghế","椅子","draft"
"A1","家・暮らし","2","家具と身の回り","giường","ベッド","draft"
"A1","家・暮らし","2","家具と身の回り","tủ","戸棚","draft"
"A1","家・暮らし","2","家具と身の回り","đèn","照明","draft"
"A1","家・暮らし","2","家具と身の回り","quạt","扇風機","draft"
"A1","家・暮らし","2","家具と身の回り","điều hòa","エアコン","draft"
"A1","家・暮らし","2","家具と身の回り","tủ lạnh","冷蔵庫","draft"
"A1","家・暮らし","2","家具と身の回り","máy giặt","洗濯機","draft"
"A1","家・暮らし","2","家具と身の回り","ti vi","テレビ","draft"
"A1","家・暮らし","2","家具と身の回り","gương","鏡","draft"
"A1","家・暮らし","2","家具と身の回り","đồng hồ","時計","draft"
"A1","家・暮らし","2","家具と身の回り","điện thoại","電話","draft"
"A1","家・暮らし","2","家具と身の回り","máy tính","コンピューター","draft"
"A1","家・暮らし","2","家具と身の回り","túi","袋","draft"
"A1","家・暮らし","2","家具と身の回り","cốc","コップ","draft"
"A1","家・暮らし","2","家具と身の回り","bát","おわん","draft"
"A1","家・暮らし","2","家具と身の回り","đĩa","皿","draft"
"A1","家・暮らし","2","家具と身の回り","đũa","箸","draft"
"A1","家・暮らし","2","家具と身の回り","thìa","スプーン","draft"
"A1","毎日の動作","1","基本の動詞","ăn","食べる","legacy-match"
"A1","毎日の動作","1","基本の動詞","uống","飲む","legacy-match"
"A1","毎日の動作","1","基本の動詞","ngủ","眠る","legacy-match"
"A1","毎日の動作","1","基本の動詞","đi","行く","legacy-match"
"A1","毎日の動作","1","基本の動詞","đến","来る・到着する","legacy-match"
"A1","毎日の動作","1","基本の動詞","về","帰る","draft"
"A1","毎日の動作","1","基本の動詞","ngồi","座る","draft"
"A1","毎日の動作","1","基本の動詞","đứng","立つ","draft"
"A1","毎日の動作","1","基本の動詞","nằm","横になる","draft"
"A1","毎日の動作","1","基本の動詞","chạy","走る","draft"
"A1","毎日の動作","1","基本の動詞","đi bộ","歩く","draft"
"A1","毎日の動作","1","基本の動詞","nhìn","見る・目を向ける","draft"
"A1","毎日の動作","1","基本の動詞","nghe","聞く","legacy-match"
"A1","毎日の動作","1","基本の動詞","nói","話す","legacy-match"
"A1","毎日の動作","1","基本の動詞","đọc","読む","draft"
"A1","毎日の動作","1","基本の動詞","viết","書く","draft"
"A1","毎日の動作","1","基本の動詞","học","学ぶ","legacy-match"
"A1","毎日の動作","1","基本の動詞","làm","する・働く","legacy-match"
"A1","毎日の動作","1","基本の動詞","mua","買う","draft"
"A1","毎日の動作","1","基本の動詞","bán","売る","draft"
"A1","毎日の動作","2","生活の動き","thức dậy","目を覚ます","legacy-match"
"A1","毎日の動作","2","生活の動き","rửa","洗う","draft"
"A1","毎日の動作","2","生活の動き","tắm","入浴する","draft"
"A1","毎日の動作","2","生活の動き","đánh răng","歯を磨く","draft"
"A1","毎日の動作","2","生活の動き","nấu ăn","料理する","draft"
"A1","毎日の動作","2","生活の動き","dọn dẹp","片付ける","draft"
"A1","毎日の動作","2","生活の動き","giặt","洗濯する","draft"
"A1","毎日の動作","2","生活の動き","mặc","服を着る","draft"
"A1","毎日の動作","2","生活の動き","cởi","服を脱ぐ","draft"
"A1","毎日の動作","2","生活の動き","mở","開ける","draft"
"A1","毎日の動作","2","生活の動き","đóng","閉める","draft"
"A1","毎日の動作","2","生活の動き","bật","スイッチを入れる","draft"
"A1","毎日の動作","2","生活の動き","tắt","スイッチを切る","draft"
"A1","毎日の動作","2","生活の動き","lấy","取る","draft"
"A1","毎日の動作","2","生活の動き","đưa","手渡す","draft"
"A1","毎日の動作","2","生活の動き","mang","持っていく","draft"
"A1","毎日の動作","2","生活の動き","chờ","待つ","draft"
"A1","毎日の動作","2","生活の動き","tìm","探す","draft"
"A1","毎日の動作","2","生活の動き","gặp","会う","draft"
"A1","毎日の動作","2","生活の動き","chơi","遊ぶ","draft"
"A1","時間・数字","1","数と量","một","1","legacy-match"
"A1","時間・数字","1","数と量","hai","2","draft"
"A1","時間・数字","1","数と量","ba","3","legacy-match"
"A1","時間・数字","1","数と量","bốn","4","draft"
"A1","時間・数字","1","数と量","năm","5","legacy-match"
"A1","時間・数字","1","数と量","sáu","6","draft"
"A1","時間・数字","1","数と量","bảy","7","draft"
"A1","時間・数字","1","数と量","tám","8","draft"
"A1","時間・数字","1","数と量","chín","9","draft"
"A1","時間・数字","1","数と量","mười","10","draft"
"A1","時間・数字","1","数と量","mười một","11","draft"
"A1","時間・数字","1","数と量","mười hai","12","draft"
"A1","時間・数字","1","数と量","hai mươi","20","legacy-match"
"A1","時間・数字","1","数と量","ba mươi","30","draft"
"A1","時間・数字","1","数と量","một trăm","100","draft"
"A1","時間・数字","1","数と量","một nghìn","1000","draft"
"A1","時間・数字","1","数と量","nhiều","多い","draft"
"A1","時間・数字","1","数と量","ít","少ない","draft"
"A1","時間・数字","1","数と量","bao nhiêu","いくつ・いくら","legacy-match"
"A1","時間・数字","1","数と量","mấy","いくつ（少ない数）","draft"
"A1","時間・数字","2","日と時間","hôm nay","今日","legacy-match"
"A1","時間・数字","2","日と時間","hôm qua","昨日","legacy-match"
"A1","時間・数字","2","日と時間","ngày mai","明日","legacy-match"
"A1","時間・数字","2","日と時間","bây giờ","今","draft"
"A1","時間・数字","2","日と時間","sáng","朝","legacy-match"
"A1","時間・数字","2","日と時間","trưa","昼","draft"
"A1","時間・数字","2","日と時間","chiều","午後","draft"
"A1","時間・数字","2","日と時間","tối","夜","draft"
"A1","時間・数字","2","日と時間","đêm","夜中","draft"
"A1","時間・数字","2","日と時間","ngày","日","draft"
"A1","時間・数字","2","日と時間","tuần","週","legacy-match"
"A1","時間・数字","2","日と時間","tháng","月（期間）","legacy-match"
"A1","時間・数字","2","日と時間","năm nay","今年","draft"
"A1","時間・数字","2","日と時間","giờ","時・時間","draft"
"A1","時間・数字","2","日と時間","phút","分","draft"
"A1","時間・数字","2","日と時間","giây","秒","draft"
"A1","時間・数字","2","日と時間","thứ hai","月曜日","draft"
"A1","時間・数字","2","日と時間","thứ bảy","土曜日","draft"
"A1","時間・数字","2","日と時間","chủ nhật","日曜日","draft"
"A1","時間・数字","2","日と時間","cuối tuần","週末","legacy-match"
"A1","場所・移動","1","街の場所","trường học","学校","legacy-match"
"A1","場所・移動","1","街の場所","bệnh viện","病院","legacy-match"
"A1","場所・移動","1","街の場所","ngân hàng","銀行","draft"
"A1","場所・移動","1","街の場所","bưu điện","郵便局","draft"
"A1","場所・移動","1","街の場所","siêu thị","スーパーマーケット","draft"
"A1","場所・移動","1","街の場所","chợ","市場","legacy-match"
"A1","場所・移動","1","街の場所","cửa hàng","店","draft"
"A1","場所・移動","1","街の場所","nhà hàng","レストラン","legacy-match"
"A1","場所・移動","1","街の場所","quán cà phê","カフェ","draft"
"A1","場所・移動","1","街の場所","khách sạn","ホテル","draft"
"A1","場所・移動","1","街の場所","công viên","公園","draft"
"A1","場所・移動","1","街の場所","sân bay","空港","legacy-match"
"A1","場所・移動","1","街の場所","nhà ga","駅","legacy-match"
"A1","場所・移動","1","街の場所","bến xe","バスターミナル","draft"
"A1","場所・移動","1","街の場所","đường phố","街路","draft"
"A1","場所・移動","1","街の場所","cầu","橋","draft"
"A1","場所・移動","1","街の場所","biển","海","draft"
"A1","場所・移動","1","街の場所","núi","山","draft"
"A1","場所・移動","1","街の場所","sông","川","draft"
"A1","場所・移動","1","街の場所","hồ","湖","draft"
"A1","場所・移動","2","乗り物と位置","xe","車両","draft"
"A1","場所・移動","2","乗り物と位置","xe máy","バイク","legacy-match"
"A1","場所・移動","2","乗り物と位置","xe đạp","自転車","draft"
"A1","場所・移動","2","乗り物と位置","ô tô","自動車","draft"
"A1","場所・移動","2","乗り物と位置","xe buýt","バス","legacy-match"
"A1","場所・移動","2","乗り物と位置","tàu hỏa","列車","draft"
"A1","場所・移動","2","乗り物と位置","máy bay","飛行機","draft"
"A1","場所・移動","2","乗り物と位置","thuyền","小舟","draft"
"A1","場所・移動","2","乗り物と位置","vé","切符","draft"
"A1","場所・移動","2","乗り物と位置","bản đồ","地図","draft"
"A1","場所・移動","2","乗り物と位置","ở đâu","どこに","draft"
"A1","場所・移動","2","乗り物と位置","đây","ここ","draft"
"A1","場所・移動","2","乗り物と位置","đó","そこ","draft"
"A1","場所・移動","2","乗り物と位置","kia","あそこ","draft"
"A1","場所・移動","2","乗り物と位置","trên","上に","draft"
"A1","場所・移動","2","乗り物と位置","dưới","下に","draft"
"A1","場所・移動","2","乗り物と位置","trong","中に","draft"
"A1","場所・移動","2","乗り物と位置","ngoài","外に","draft"
"A1","場所・移動","2","乗り物と位置","trái","左","draft"
"A1","場所・移動","2","乗り物と位置","phải","右","draft"
"A1","体・服装","1","体と体調","đầu","頭","draft"
"A1","体・服装","1","体と体調","mặt","顔","draft"
"A1","体・服装","1","体と体調","mắt","目","draft"
"A1","体・服装","1","体と体調","tai","耳","draft"
"A1","体・服装","1","体と体調","mũi","鼻","draft"
"A1","体・服装","1","体と体調","miệng","口","draft"
"A1","体・服装","1","体と体調","răng","歯","draft"
"A1","体・服装","1","体と体調","tóc","髪","draft"
"A1","体・服装","1","体と体調","cổ","首","draft"
"A1","体・服装","1","体と体調","vai","肩","draft"
"A1","体・服装","1","体と体調","tay","手・腕","draft"
"A1","体・服装","1","体と体調","chân","足・脚","draft"
"A1","体・服装","1","体と体調","bụng","おなか","draft"
"A1","体・服装","1","体と体調","lưng","背中","draft"
"A1","体・服装","1","体と体調","đau","痛い","draft"
"A1","体・服装","1","体と体調","ốm","病気の","draft"
"A1","体・服装","1","体と体調","mệt","疲れた","legacy-match"
"A1","体・服装","1","体と体調","khỏe","元気な","legacy-match"
"A1","体・服装","1","体と体調","đói","空腹の","legacy-match"
"A1","体・服装","1","体と体調","khát","喉が渇いた","legacy-match"
"A1","体・服装","2","服と持ち物","áo","上着・シャツ","draft"
"A1","体・服装","2","服と持ち物","quần","ズボン","draft"
"A1","体・服装","2","服と持ち物","váy","スカート・ワンピース","draft"
"A1","体・服装","2","服と持ち物","áo sơ mi","ワイシャツ","draft"
"A1","体・服装","2","服と持ち物","áo phông","Tシャツ","draft"
"A1","体・服装","2","服と持ち物","áo khoác","ジャケット","draft"
"A1","体・服装","2","服と持ち物","quần đùi","短パン","draft"
"A1","体・服装","2","服と持ち物","giày","靴","draft"
"A1","体・服装","2","服と持ち物","dép","サンダル","draft"
"A1","体・服装","2","服と持ち物","tất","靴下","draft"
"A1","体・服装","2","服と持ち物","mũ","帽子","draft"
"A1","体・服装","2","服と持ち物","kính","眼鏡","draft"
"A1","体・服装","2","服と持ち物","ô","傘","draft"
"A1","体・服装","2","服と持ち物","áo mưa","レインコート","draft"
"A1","体・服装","2","服と持ち物","khăn","布・タオル","draft"
"A1","体・服装","2","服と持ち物","khăn mặt","顔拭きタオル","draft"
"A1","体・服装","2","服と持ち物","ba lô","リュック","draft"
"A1","体・服装","2","服と持ち物","ví","財布","draft"
"A1","体・服装","2","服と持ち物","vali","スーツケース","draft"
"A1","体・服装","2","服と持ち物","đồng phục","制服","draft"
"A1","様子・気持ち","1","基本の形容詞","to","大きい","draft"
"A1","様子・気持ち","1","基本の形容詞","nhỏ","小さい","legacy-match"
"A1","様子・気持ち","1","基本の形容詞","cao","高い（高さ）","draft"
"A1","様子・気持ち","1","基本の形容詞","thấp","低い","draft"
"A1","様子・気持ち","1","基本の形容詞","dài","長い","draft"
"A1","様子・気持ち","1","基本の形容詞","ngắn","短い","draft"
"A1","様子・気持ち","1","基本の形容詞","rộng","広い","draft"
"A1","様子・気持ち","1","基本の形容詞","hẹp","狭い","draft"
"A1","様子・気持ち","1","基本の形容詞","nóng","熱い・暑い","draft"
"A1","様子・気持ち","1","基本の形容詞","lạnh","冷たい・寒い","draft"
"A1","様子・気持ち","1","基本の形容詞","ấm","暖かい","draft"
"A1","様子・気持ち","1","基本の形容詞","mát","涼しい","draft"
"A1","様子・気持ち","1","基本の形容詞","mới","新しい","draft"
"A1","様子・気持ち","1","基本の形容詞","cũ","古い（使い古した）","draft"
"A1","様子・気持ち","1","基本の形容詞","tốt","良い","draft"
"A1","様子・気持ち","1","基本の形容詞","xấu","悪い・醜い","draft"
"A1","様子・気持ち","1","基本の形容詞","đẹp","美しい","legacy-match"
"A1","様子・気持ち","1","基本の形容詞","sạch","清潔な","draft"
"A1","様子・気持ち","1","基本の形容詞","bẩn","汚い","draft"
"A1","様子・気持ち","1","基本の形容詞","dễ","易しい","draft"
"A1","様子・気持ち","2","気持ちと状態","vui","楽しい・うれしい","legacy-match"
"A1","様子・気持ち","2","気持ちと状態","buồn","悲しい","legacy-match"
"A1","様子・気持ち","2","気持ちと状態","thích","好きである","draft"
"A1","様子・気持ち","2","気持ちと状態","yêu","愛する","draft"
"A1","様子・気持ち","2","気持ちと状態","ghét","嫌う","draft"
"A1","様子・気持ち","2","気持ちと状態","sợ","怖がる","draft"
"A1","様子・気持ち","2","気持ちと状態","biết","知っている","draft"
"A1","様子・気持ち","2","気持ちと状態","hiểu","理解する","draft"
"A1","様子・気持ち","2","気持ちと状態","nhớ","覚えている・恋しく思う","draft"
"A1","様子・気持ち","2","気持ちと状態","quên","忘れる","draft"
"A1","様子・気持ち","2","気持ちと状態","muốn","欲しい・したい","draft"
"A1","様子・気持ち","2","気持ちと状態","cần","必要とする","draft"
"A1","様子・気持ち","2","気持ちと状態","có","持っている・ある","draft"
"A1","様子・気持ち","2","気持ちと状態","không có","ない・持っていない","draft"
"A1","様子・気持ち","2","気持ちと状態","bận","忙しい","legacy-match"
"A1","様子・気持ち","2","気持ちと状態","rảnh","暇な","legacy-match"
"A1","様子・気持ち","2","気持ちと状態","nhanh","速い","draft"
"A1","様子・気持ち","2","気持ちと状態","chậm","遅い（速度）","draft"
"A1","様子・気持ち","2","気持ちと状態","khó","難しい","draft"
"A1","様子・気持ち","2","気持ちと状態","ngon","おいしい","draft"
"A1","自然・色","1","天気と自然","trời","空・天候","draft"
"A1","自然・色","1","天気と自然","nắng","日差し","draft"
"A1","自然・色","1","天気と自然","mưa","雨","draft"
"A1","自然・色","1","天気と自然","gió","風","draft"
"A1","自然・色","1","天気と自然","mây","雲","draft"
"A1","自然・色","1","天気と自然","tuyết","雪","draft"
"A1","自然・色","1","天気と自然","mùa","季節","draft"
"A1","自然・色","1","天気と自然","mùa xuân","春","draft"
"A1","自然・色","1","天気と自然","mùa hè","夏","draft"
"A1","自然・色","1","天気と自然","mùa thu","秋","draft"
"A1","自然・色","1","天気と自然","mùa đông","冬","draft"
"A1","自然・色","1","天気と自然","cây","木","draft"
"A1","自然・色","1","天気と自然","hoa","花","draft"
"A1","自然・色","1","天気と自然","lá","葉","draft"
"A1","自然・色","1","天気と自然","cỏ","草","draft"
"A1","自然・色","1","天気と自然","đất","土","draft"
"A1","自然・色","1","天気と自然","cát","砂","draft"
"A1","自然・色","1","天気と自然","mặt trời","太陽","draft"
"A1","自然・色","1","天気と自然","mặt trăng","月（天体）","draft"
"A1","自然・色","1","天気と自然","ngôi sao","星","draft"
"A1","自然・色","2","動物と色","chó","犬","draft"
"A1","自然・色","2","動物と色","mèo","猫","draft"
"A1","自然・色","2","動物と色","chim","鳥","draft"
"A1","自然・色","2","動物と色","gà","ニワトリ","draft"
"A1","自然・色","2","動物と色","vịt","アヒル","draft"
"A1","自然・色","2","動物と色","bò","牛","draft"
"A1","自然・色","2","動物と色","lợn","豚","draft"
"A1","自然・色","2","動物と色","ngựa","馬","draft"
"A1","自然・色","2","動物と色","voi","ゾウ","draft"
"A1","自然・色","2","動物と色","khỉ","猿","draft"
"A1","自然・色","2","動物と色","màu","色","draft"
"A1","自然・色","2","動物と色","đỏ","赤い","draft"
"A1","自然・色","2","動物と色","xanh lá cây","緑色の","draft"
"A1","自然・色","2","動物と色","xanh da trời","空色の","draft"
"A1","自然・色","2","動物と色","vàng","黄色い","draft"
"A1","自然・色","2","動物と色","trắng","白い","draft"
"A1","自然・色","2","動物と色","đen","黒い","draft"
"A1","自然・色","2","動物と色","hồng","ピンク色の","draft"
"A1","自然・色","2","動物と色","tím","紫色の","draft"
"A1","自然・色","2","動物と色","nâu","茶色の","draft"
"A1","会話・学習","1","あいさつと質問","xin chào","こんにちは","draft"
"A1","会話・学習","1","あいさつと質問","tạm biệt","さようなら","draft"
"A1","会話・学習","1","あいさつと質問","cảm ơn","ありがとう","draft"
"A1","会話・学習","1","あいさつと質問","xin lỗi","ごめんなさい","draft"
"A1","会話・学習","1","あいさつと質問","vâng","はい（丁寧）","draft"
"A1","会話・学習","1","あいさつと質問","không","いいえ","draft"
"A1","会話・学習","1","あいさつと質問","được","よい・可能である","draft"
"A1","会話・学習","1","あいさつと質問","không sao","大丈夫・気にしないで","draft"
"A1","会話・学習","1","あいさつと質問","xin mời","どうぞ","draft"
"A1","会話・学習","1","あいさつと質問","làm ơn","お願いします","draft"
"A1","会話・学習","1","あいさつと質問","cái gì","何","draft"
"A1","会話・学習","1","あいさつと質問","khi nào","いつ","draft"
"A1","会話・学習","1","あいさつと質問","tại sao","なぜ","draft"
"A1","会話・学習","1","あいさつと質問","thế nào","どのように","draft"
"A1","会話・学習","1","あいさつと質問","bao giờ","いつ（時点）","draft"
"A1","会話・学習","1","あいさつと質問","bao lâu","どれくらいの期間","draft"
"A1","会話・学習","1","あいさつと質問","ở","～にいる・住む","draft"
"A1","会話・学習","1","あいさつと質問","của","～の（所有）","legacy-match"
"A1","会話・学習","1","あいさつと質問","và","そして・～と","draft"
"A1","会話・学習","1","あいさつと質問","nhưng","しかし","draft"
"A1","会話・学習","2","学校と学習","sách","本","legacy-match"
"A1","会話・学習","2","学校と学習","vở","ノート","draft"
"A1","会話・学習","2","学校と学習","bút","ペン","draft"
"A1","会話・学習","2","学校と学習","bút chì","鉛筆","draft"
"A1","会話・学習","2","学校と学習","giấy","紙","draft"
"A1","会話・学習","2","学校と学習","bảng","黒板・ホワイトボード","draft"
"A1","会話・学習","2","学校と学習","lớp","クラス","draft"
"A1","会話・学習","2","学校と学習","bài học","課","draft"
"A1","会話・学習","2","学校と学習","bài tập","練習問題・宿題","draft"
"A1","会話・学習","2","学校と学習","từ","単語","draft"
"A1","会話・学習","2","学校と学習","câu","文","draft"
"A1","会話・学習","2","学校と学習","tiếng Việt","ベトナム語","draft"
"A1","会話・学習","2","学校と学習","tiếng Nhật","日本語","draft"
"A1","会話・学習","2","学校と学習","tiếng Anh","英語","draft"
"A1","会話・学習","2","学校と学習","hỏi","尋ねる","draft"
"A1","会話・学習","2","学校と学習","trả lời","答える","draft"
"A1","会話・学習","2","学校と学習","đúng","正しい","draft"
"A1","会話・学習","2","学校と学習","sai","間違っている","draft"
"A1","会話・学習","2","学校と学習","rất","とても","draft"
"A1","会話・学習","2","学校と学習","cũng","～も","draft"
"A2","食事・買い物","1","野菜と果物","cà chua","トマト","draft"
"A2","食事・買い物","1","野菜と果物","khoai tây","ジャガイモ","draft"
"A2","食事・買い物","1","野菜と果物","khoai lang","サツマイモ","draft"
"A2","食事・買い物","1","野菜と果物","cà rốt","ニンジン","draft"
"A2","食事・買い物","1","野菜と果物","hành tây","タマネギ","draft"
"A2","食事・買い物","1","野菜と果物","tỏi","ニンニク","draft"
"A2","食事・買い物","1","野菜と果物","gừng","ショウガ","draft"
"A2","食事・買い物","1","野菜と果物","ớt","トウガラシ","draft"
"A2","食事・買い物","1","野菜と果物","dưa chuột","キュウリ","draft"
"A2","食事・買い物","1","野菜と果物","bắp cải","キャベツ","draft"
"A2","食事・買い物","1","野菜と果物","rau muống","空心菜","draft"
"A2","食事・買い物","1","野菜と果物","nấm","キノコ","draft"
"A2","食事・買い物","1","野菜と果物","bí đỏ","カボチャ","draft"
"A2","食事・買い物","1","野菜と果物","cà tím","ナス","draft"
"A2","食事・買い物","1","野菜と果物","súp lơ","カリフラワー","draft"
"A2","食事・買い物","1","野菜と果物","ổi","グアバ","draft"
"A2","食事・買い物","1","野菜と果物","vải","ライチ","draft"
"A2","食事・買い物","1","野菜と果物","nhãn","リュウガン","draft"
"A2","食事・買い物","1","野菜と果物","thanh long","ドラゴンフルーツ","draft"
"A2","食事・買い物","1","野菜と果物","sầu riêng","ドリアン","draft"
"A2","食事・買い物","2","味と調理","ngọt","甘い","draft"
"A2","食事・買い物","2","味と調理","chua","酸っぱい","draft"
"A2","食事・買い物","2","味と調理","cay","辛い","draft"
"A2","食事・買い物","2","味と調理","mặn","塩辛い","draft"
"A2","食事・買い物","2","味と調理","đắng","苦い","draft"
"A2","食事・買い物","2","味と調理","nhạt","味が薄い","draft"
"A2","食事・買い物","2","味と調理","thơm","香りがよい","draft"
"A2","食事・買い物","2","味と調理","tươi","新鮮な","draft"
"A2","食事・買い物","2","味と調理","giòn","さくさくした","draft"
"A2","食事・買い物","2","味と調理","sống","生の","draft"
"A2","食事・買い物","2","味と調理","luộc","ゆでる","draft"
"A2","食事・買い物","2","味と調理","rán","油で揚げ焼きする","draft"
"A2","食事・買い物","2","味と調理","xào","炒める","draft"
